slug	url	http	bytes	sha256_16	fetched_utc
S1-prompting-opus-5	https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-opus-5	200	12465	65be3e0b437cbe23	2026-09-05T01:56:42Z
S2-opus-5-migration	https://platform.claude.com/docs/en/models/opus-5/migration-guide	200	94684	2c90776b634505f2	2026-09-05T01:56:44Z
S3-opus-5-whats-new	https://platform.claude.com/docs/en/models/opus-5/whats-new-opus-5	200	19127	bc06fcac28ee81e1	2026-09-05T01:56:46Z
S4-prompting-fable-5-1	https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-fable-5-1	200	54572	4aa645dd26fe9efe	2026-09-05T01:56:48Z
S5-prompting-fable-5	https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-fable-5	200	19059	cfa1c5d6e2d27731	2026-09-05T01:56:50Z
S6-fable-5-1-migration	https://platform.claude.com/docs/en/models/fable-5-1/migration-guide	200	92636	e361d22510642a16	2026-09-05T01:56:52Z
S7-fable-5-1-whats-new	https://platform.claude.com/docs/en/models/fable-5-1/whats-new-fable-5-1	200	37498	1f66f88b01dc05c6	2026-09-05T01:56:53Z
S8-best-practices	https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/claude-prompting-best-practices	200	64218	f98aa130a7974b2e	2026-09-05T01:56:54Z
S9-prompting-opus-4-8	https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-opus-4-8	200	16595	ed0c1c467d33ebff	2026-09-05T01:56:55Z
S12-sysprompt-opus-5	https://platform.claude.com/docs/en/release-notes/system-prompts/claude-opus-5	200	22267	2ee7aa8e01827d02	2026-09-05T01:56:56Z
S13-sysprompt-fable-5-1	https://platform.claude.com/docs/en/release-notes/system-prompts/claude-fable-5-1	200	28359	4ad8174d706a51e5	2026-09-05T01:56:57Z
S14-effort	https://platform.claude.com/docs/en/build-with-claude/effort	200	35309	33d9c4c4d238dac3	2026-09-05T01:56:58Z
S15-thinking	https://platform.claude.com/docs/en/build-with-claude/thinking	200	71829	9baa0fba3a60b873	2026-09-05T01:56:59Z
S16-thinking-troubleshooting	https://platform.claude.com/docs/en/build-with-claude/thinking-troubleshooting	200	16825	65e073a4ed945452	2026-09-05T01:57:00Z
S17-models-overview	https://platform.claude.com/docs/en/models/overview	200	16851	b2ae292320b5d068	2026-09-05T01:57:01Z
S18-model-deprecations	https://platform.claude.com/docs/en/about-claude/model-deprecations	200	13514	0230d571767d0ef6	2026-09-05T01:57:03Z
S19-release-notes-overview	https://platform.claude.com/docs/en/release-notes/overview	200	103914	274fa68315701403	2026-09-05T01:57:05Z
S38-extended-thinking	https://platform.claude.com/docs/en/build-with-claude/extended-thinking	200	22118	e4659de68a1379fd	2026-09-05T01:57:06Z
S41-fable-5-intro	https://platform.claude.com/docs/en/models/fable-5/introducing-claude-fable-5-and-claude-mythos-5	200	9914	b9b9f1515b90003c	2026-09-05T01:57:07Z
N-prompting-sonnet-5	https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-sonnet-5	200	16479	07e7db846f96915a	2026-09-05T01:57:09Z
